"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/Grimoire/open/tex-3/lambert3.lambert3","0","14","1","1","16.141270","0","48"
"/Game/Grimoire/open/tex-3/lambert2.lambert2","0","14","1","1","0.000000","0","48"
"/Game/Grimoire/open/tex-2/lambert3.lambert3","0","14","1","1","0.000000","0","48"
"/Game/Grimoire/open/tex-2/lambert2.lambert2","0","14","1","1","0.000000","0","60"
"/Game/Grimoire/open/lambert3.lambert3","0","14","1","1","0.000000","0","48"
"/Game/Grimoire/open/lambert2.lambert2","0","14","1","1","0.000000","0","48"
"/Game/AssetPacks/BattleWizardPolyart/Materials/StageMat.StageMat","0","23","1","1","29.335159","0","263"
"/Game/AssetPacks/MegaMagicVFXBundle/DemoMaps/DemoMapMagicShields/MaterialsandTextures/M_DemoMapWall.M_DemoMapWall","0","14","1","1","40.385307","0","110"
"/Game/AssetPacks/InfinityBladeEffects/Effects/Masters/M_Trans_Sprite_SubUV_Master_DepthFade.M_Trans_Sprite_SubUV_Master_DepthFade","0","9","1","1","7.363076","0","53"
"/Game/Grimoire/closed/lambert3.lambert3","0","26","3","1","10.761713","0","296"
"/Game/Grimoire/closed/lambert2.lambert2","0","26","3","1","0.000000","0","303"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Crystals_snowy.Crystals_snowy","0","23","1","1","18.477711","0","298"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Stone_fence_snowy.Stone_fence_snowy","0","14","1","1","10.022121","0","56"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Stairs_snowy.Stairs_snowy","0","14","1","1","0.000000","0","56"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Stairs_large_snowy.Stairs_large_snowy","0","14","1","1","0.000000","0","56"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Small_house_snowy.Small_house_snowy","0","14","1","1","0.000000","0","56"
"/Game/HandPaintedEnvironment/Assets/Materials/Summer_mat/Pillars_arch.Pillars_arch","0","23","1","1","6.524134","0","131"
"/Game/HandPaintedEnvironment/Assets/Materials/Winter/Ruined_walls_snowy.Ruined_walls_snowy","0","14","1","1","0.000000","0","56"
